IDTALLER,IDDUENO,NOMBRE,DIRECCION,TELEFONO
1,6,"Ambarella, Inc.",3 Hallows Drive,(392) 9716127
2,2,First Trust Dynamic Europe Equity Income Fund,8471 Hoffman Plaza,(490) 9024823
3,1,Kingtone Wirelessinfo Solution Holding Ltd,38 South Point,(194) 8073573
4,6,Getty Realty Corporation,1954 Toban Way,(372) 7499826
5,14,"Penns Woods Bancorp, Inc.",63202 Lunder Center,(407) 2950052
6,11,"Stock Yards Bancorp, Inc.",5 Starling Trail,(869) 6150451
7,9,"Axsome Therapeutics, Inc.",1 Sutteridge Terrace,(642) 6937075
8,1,"Easterly Government Properties, Inc.",54 Golf Course Parkway,(937) 4866197
9,2,"CommerceHub, Inc.",159 Knutson Park,(997) 1033357
10,9,Steel Partners Holdings LP,6826 Maple Wood Street,(582) 9326564
11,4,Peapack-Gladstone Financial Corporation,495 Lien Lane,(299) 8180858
12,15,"PrivateBancorp, Inc.",56547 Pepper Wood Alley,(780) 2768457
13,12,"Adams Diversified Equity Fund, Inc.",26 Emmet Alley,(892) 8524554
14,7,Hospitality Properties Trust,2 Jenifer Terrace,(952) 9652340
15,13,Twilio Inc.,8 Commercial Place,(566) 5389883
